,Name,Team,Batting_Hand,Bowling_Type,Role,Matches,Innings,Not Outs,Runs,Highest,Average,BF,SR,100,200,50,4,6,Matches,Innings,Balls,Runs,Wickets,BBI,BBM,Economy,Average,SR,5W,10W
81,Harbhajan Singh,Kolkata Knight Riders,Right,Right-arm offbreak,BOWLER,160,88,33,829,64,15.07,600,138.17,0,0,1,79,42,160,157,3374,3967,150,5/18,5/18,7.05,26.45,22.49,1,0
82,Jasprit Bumrah,Mumbai Indians,Right,Right-arm fast,BOWLER,92,13,10,40,16,13.33,41,97.56,0,0,0,2,1,92,92,2092,2587,109,4/14,4/14,7.42,23.73,19.19,0,0
83,Rahul Chahar,Mumbai Indians,Right,Right-arm legbreak,BOWLER,31,6,4,17,10,8.5,17,100.0,0,0,0,2,0,31,30,642,799,30,3/19,3/19,7.47,26.63,21.4,0,0
84,Mohsin Khan,Mumbai Indians,Left,Left-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Dhawal Kulkarni,Mumbai Indians,Right,Right-arm fast,BOWLER,91,22,13,104,28,11.56,108,96.3,0,0,0,7,2,91,91,1763,2426,86,4/14,4/14,8.26,28.21,20.5,0,0
86,Trent Boult,Mumbai Indians,Right,Left-arm fast,BOWLER,48,6,3,12,6,4.0,15,80.0,0,0,0,0,1,48,48,1109,1577,63,4/18,4/18,8.53,25.03,17.6,0,0
87,Jayant Yadav,Mumbai Indians,Right,Right-arm offbreak,BOWLER,14,2,0,6,5,3.0,10,60.0,0,0,0,0,0,14,14,264,289,6,1/8,1/8,6.57,48.17,44.0,0,0
88,Nathan Coulter-Nile,Mumbai Indians,Right,Right-arm fast,BOWLER,33,15,5,77,24,7.7,65,118.46,0,0,0,7,4,33,32,719,925,41,4/20,4/20,7.72,22.56,17.54,0,0
89,Adam Milne,Mumbai Indians,Right,Right-arm fast,BOWLER,5,3,1,7,5,3.5,12,58.33,0,0,0,0,0,5,5,108,177,4,2/27,2/27,9.83,44.25,27.0,0,0
90,Yudhvir Singh,Mumbai Indians,Right,Right-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
